trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introtext.started,introspace.started,introspace.keys,introspace.rt,headtext.started,feeettext.started,leftarmtext.started,righarmtext.started,eyestext.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9.219134209000003,9.219134209000003,space,2.8972184589997596,,,,,,trial,001,2023-04-18_16h16.30.899,trial_crux,2022.2.5,59.83209617995603,
0,0,0,0,,,,,12.154589750000014,19.16982900000039,26.1696003750003,33.169850084000245,40.169898209000166,trial,001,2023-04-18_16h16.30.899,trial_crux,2022.2.5,59.83209617995603,
,,,,,,,,47.169948667000426,54.16983558400034,,,,,,,,,,
