conditions,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,key_resp.started,key_resp.keys,key_resp.rt,stimulus_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,9.397415000000365,9.397415000000365,space,3.1132428749997416,,,,,,,,,ierjfo,001,2023-04-18_17h08.41.133,crux_code,2022.2.5,59.894137112658505,
feet,0,0,0,0,,,,,12.536628500000006,0.016878415999599383,[],[],[],[],[],[],ierjfo,001,2023-04-18_17h08.41.133,crux_code,2022.2.5,59.894137112658505,
right hand,0,1,1,2,,,,,19.54684691700004,0.028561250000166183,[-0.27405857740585776],[0.1192468619246862],[1],[0],[0],[0.7723997079992841],ierjfo,001,2023-04-18_17h08.41.133,crux_code,2022.2.5,59.894137112658505,
,,,,,,,,,20.32782779199988,0.004473999999390799,,,,,,,,,,,,,
