conditions,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,introtext.started,space.started,space.keys,space.rt,stimulus_text.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,14.413856499999383,14.413856499999383,space,8.358546667001065,,,,,,,,,andy!!,001,2023-04-18_17h00.35.868,crux_code,2022.2.5,60.02681674007142,
feet,0,0,0,0,,,,,22.817751667000266,0.012132583000493469,[-0.12656903765690378],[-0.07845188284518828],[1],[0],[0],[6.790589041999738],andy!!,001,2023-04-18_17h00.35.868,crux_code,2022.2.5,60.02681674007142,
head,0,1,1,4,,,,,29.613876499999606,0.0023705000003246823,[-0.12656903765690378],[-0.07845188284518828],[1],[0],[0],[0.9971669579999798],andy!!,001,2023-04-18_17h00.35.868,crux_code,2022.2.5,60.02681674007142,
right arm,0,2,2,2,,,,,30.61463908299993,0.0041355829998792615,[-0.12656903765690378],[-0.07845188284518828],[1],[0],[0],[0.36140762500053825],andy!!,001,2023-04-18_17h00.35.868,crux_code,2022.2.5,60.02681674007142,
,,,,,,,,,30.98101399999996,0.005210583000007318,,,,,,,,,,,,,
